bandwidth,latency,packet_loss,uptime,label
105.42,38.53,0.82,99.89,normal
122.61,10.42,1.19,99.23,normal
80.14,36.53,0.1,98.77,normal
55.49,42.85,1.01,99.19,normal
29.5,249.06,13.78,92.8,gangguan
34.89,33.32,0.93,99.83,normal
10.03,105.65,4.07,97.72,gangguan
131.38,33.19,0.06,98.6,normal
95.64,40.94,0,99.63,normal
138.9,51.27,0.99,99.28,normal
47.63,15.51,0.51,99.71,normal
55.83,223.86,1.36,97.74,gangguan
30.02,256.55,0.27,98.53,gangguan
33.32,137.76,1.99,97.71,gangguan
92.49,12.43,1.24,98.97,normal
98.47,45.93,0.41,98.67,normal
54.75,8.6,0.25,98.87,normal
68.85,29.97,0.01,98.7,normal
44.31,36.5,0.59,99.79,normal
144.82,61.12,0.59,98.6,normal
6.62,234.49,14.85,94.66,gangguan
12.61,268.66,11.47,90.69,gangguan
55.84,19.17,0.2,99.84,normal
125.39,25.2,0.99,99.12,normal
16.91,283.41,4.9,94.55,gangguan
108.55,61.72,0.78,98.69,normal
74.73,58.73,0.91,98.73,normal
65.61,46.36,0.41,98.7,normal
142.49,19.46,1.02,99.11,normal
30.83,11.08,0.59,98.99,normal
20.48,147.08,1.84,97.02,gangguan
15.1,162.9,3.67,98.93,gangguan
23.44,150.12,12.81,96.78,gangguan
34.54,32.88,0.4,98.67,normal
17.24,184.39,3.25,97.1,gangguan
80.24,51.68,0.76,98.63,normal
131.7,26.79,0.06,99.45,normal
33.59,59.6,0.9,99.72,normal
5.72,93.47,1.41,98.02,gangguan
43.58,23.57,0.23,99.54,normal
92.13,22.55,0.99,98.85,normal
23.23,219.13,8.4,97.3,gangguan
66.99,20.38,0.2,98.87,normal
117.49,4.45,0.76,99.17,normal
118.6,16.56,1.1,99.95,normal
148.35,37.44,0.68,98.53,normal
39.7,176.96,2.66,98.33,gangguan
126.8,39.4,0.38,99.26,normal
4.67,152.65,9.77,93.28,gangguan
138.3,32.93,0.9,99.54,normal
94.45,25.22,0.42,99.21,normal
104.37,55.26,0.34,99.57,normal
58.68,137.09,4.36,98.28,gangguan
20.93,176.76,1.69,98.58,gangguan
89.28,41.29,0.28,99.7,normal
123.81,17.74,1.06,98.66,normal
50.7,57.02,1.16,98.58,normal
122.78,29.04,0.64,98.99,normal
26.44,191.53,8.76,91.72,gangguan
67.55,53.02,0.45,99.51,normal
75.04,9.75,0.31,98.95,normal
76.99,144.36,1.52,98.77,gangguan
60.38,24.65,1.05,98.72,normal
116.3,31.64,0.35,98.57,normal
65.75,11.11,0.91,99.2,normal
116.13,21.71,0.12,99.94,normal
8.06,262.89,5.61,91.63,gangguan
8.87,90.96,2.36,97.5,gangguan
61.52,21.74,0.32,99.32,normal
2.36,181.84,6.72,93.36,gangguan
131.62,36.22,0.48,98.66,normal
131.26,52.91,0.88,98.84,normal
35.29,187.47,1.78,98.22,gangguan
60.27,57.26,0,99.05,normal
12.64,337.7,17.72,97.41,gangguan
58.35,25.17,0.32,98.98,normal
46.42,23.86,1.03,99.43,normal
146.62,37.02,0.42,99.75,normal
68.66,32.38,0.89,99.9,normal
51.7,200.39,4.9,96.93,gangguan
79.75,30.93,0.78,99.05,normal
138.02,8.04,0.28,99.35,normal
39.83,92.13,1.87,98.29,gangguan
39.88,11.88,0.81,99.96,normal
114.51,17.86,0.03,98.94,normal
76.13,21.2,1.18,99.3,normal
39.32,106.68,3.44,98.83,gangguan
148.9,48.32,0.7,98.79,normal
52.25,28.16,1.06,99.22,normal
145.1,5.72,1.13,99.83,normal
62.31,25.98,0.08,99.39,normal
54.71,16.17,1.16,99.45,normal
72.99,16.28,0.6,99.57,normal
48.7,49.28,1.01,98.78,normal
141.53,18.23,0.22,99.23,normal
47.65,38.95,0.97,99.76,normal
14.82,208.6,1.51,98.37,gangguan
64.56,36.07,1.17,99.79,normal
144.17,9.04,0.66,98.74,normal
60.54,54.91,0.2,98.86,normal
106.02,34.77,0.23,99.58,normal
89.99,44.89,0.55,98.51,normal
140.14,54.05,0.84,99.07,normal
86.66,15.89,0.1,98.62,normal
81.14,29.38,0.59,98.96,normal
12.2,148.31,3.64,98.89,gangguan
81.25,8.42,0.42,99.41,normal
61.04,21.59,0.78,99.69,normal
53.21,256.49,1.62,96.45,gangguan
31.37,28.5,0.69,99.41,normal
96.41,56.16,1.03,99.19,normal
38.85,25.4,0.79,99.13,normal
7.08,232.93,6.86,90.21,gangguan
57.41,59.25,0.76,99.53,normal
41.85,11.7,0.46,99.96,normal
28.85,209.71,13.31,92.93,gangguan
34.51,149.08,1.79,98.98,gangguan
20.7,153.27,3.1,98.27,gangguan
43.33,5.9,0.19,99.95,normal
42.92,59.19,1.16,98.73,normal
139.29,54.62,0.03,99.98,normal
148.18,42.55,0.04,99.14,normal
114.14,44.14,0.56,99.37,normal
115.6,16.12,1.08,99.58,normal
48.04,38.23,0.3,98.64,normal
24.47,133.57,2.41,98.53,gangguan
35.42,9.06,0.65,98.53,normal
131.48,9.59,1.23,98.96,normal
11.09,207.37,1.23,98.29,gangguan
108.67,178.93,0.53,96.92,gangguan
113.84,44.62,0.25,99.69,normal
48.59,29.96,1.2,99.74,normal
59.86,183.06,3.2,98.94,gangguan
21.6,230.22,13.71,91.86,gangguan
36.87,8.82,0.94,98.71,normal
111.61,54.32,0.5,99.58,normal
102.47,36.09,0.81,99.9,normal
127.62,30.65,0.8,99.22,normal
89.4,131.48,4.24,98.77,gangguan
93.61,25.86,1.05,98.99,normal
49.93,28.58,0.56,99.57,normal
72.64,35.4,1.2,98.98,normal
86.75,286.72,4.82,97.11,gangguan
97.46,21.67,0.96,99.59,normal
84.91,28.4,0.12,99.67,normal
26.52,92.95,1.68,97.07,gangguan
88.46,54.87,0.12,99.65,normal
112.21,26.49,0.17,99.42,normal
62.21,55.45,1.03,99.65,normal
148.83,41.0,0.44,99.3,normal
43.27,208.08,2.72,99.31,gangguan
35.61,30.74,0.3,99.46,normal
51.06,41.77,0.86,99.84,normal
60.38,49.24,0.89,99.69,normal
148.57,57.06,0.14,99.2,normal
25.76,174.61,11.43,96.88,gangguan
124.77,8.44,0.99,99.89,normal
111.18,34.4,0.75,98.74,normal
58.45,39.1,0.92,99.49,normal
15.71,371.74,18.13,93.19,gangguan
55.16,9.83,1.0,98.99,normal
17.22,209.07,11.33,93.92,gangguan
117.73,19.51,0.53,99.37,normal
79.67,13.43,1.0,99.52,normal
73.62,56.33,0.19,98.81,normal
67.07,37.07,0.73,99.59,normal
103.97,32.67,0.79,99.15,normal
146.85,37.02,0.1,98.61,normal
68.78,43.55,0.1,99.47,normal
143.97,34.13,0.62,99.81,normal
137.18,61.42,1.21,99.2,normal
126.0,13.71,0.82,98.74,normal
82.82,58.41,0.95,99.23,normal
134.21,46.33,0.93,99.11,normal
93.02,32.31,0.14,99.05,normal
117.66,238.8,2.55,97.33,gangguan
30.93,44.1,0.03,98.88,normal
46.24,49.46,0.6,98.54,normal
65.31,7.63,1.03,98.68,normal
74.85,32.44,1.04,98.79,normal
61.83,40.98,0.03,99.37,normal
124.83,43.8,0.26,99.23,normal
32.08,193.39,3.89,97.84,gangguan
79.83,36.0,0.58,99.48,normal
83.94,8.65,0.69,99.55,normal
122.16,35.08,1.01,98.5,normal
62.14,231.5,4.71,96.66,gangguan
86.19,59.54,0,99.91,normal
143.03,27.98,0.12,99.02,normal
98.29,39.92,0.76,98.95,normal
65.3,263.46,0.68,98.44,gangguan
129.83,20.78,0.16,99.74,normal
49.15,25.81,0.6,99.51,normal
29.35,342.79,20.73,96.18,gangguan
57.34,23.92,0.32,98.6,normal
18.46,271.24,13.6,92.8,gangguan
45.73,40.13,1.03,98.99,normal
83.37,28.02,1.11,99.47,normal
74.04,43.11,1.27,98.62,normal
105.06,30.06,0.95,99.25,normal
99.18,11.19,0.55,98.86,normal
30.87,8.92,1.01,99.47,normal
131.36,56.82,0.32,99.66,normal
44.72,49.85,0.3,98.62,normal
115.12,36.0,0.31,98.83,normal
132.34,36.69,0.99,98.72,normal
58.12,26.86,0.74,98.77,normal
104.37,48.8,1.13,98.88,normal
96.76,50.33,0.71,98.71,normal
95.35,53.66,0.41,99.82,normal
84.81,35.49,0.28,99.37,normal
75.77,18.41,1.14,99.84,normal
46.14,14.41,0.92,99.53,normal
52.4,183.99,0.81,98.7,gangguan
48.13,6.27,0.1,99.11,normal
67.06,37.88,0.54,99.46,normal
66.74,184.48,1.5,98.2,gangguan
9.9,215.79,2.94,97.45,gangguan
69.9,32.31,0.77,99.46,normal
109.06,15.2,0.85,98.58,normal
40.83,10.96,1.12,98.86,normal
36.39,200.25,0.85,98.75,gangguan
45.21,299.41,2.86,98.57,gangguan
103.73,35.56,0.61,98.83,normal
15.38,158.45,2.18,97.09,gangguan
109.38,47.46,0.94,99.69,normal
61.73,55.59,0.99,98.73,normal
146.13,9.97,0.29,99.24,normal
96.9,5.97,0.89,98.65,normal
135.47,48.51,1.25,98.66,normal
119.62,39.93,0.99,99.61,normal
125.07,13.69,1.13,99.97,normal
149.32,48.04,0.46,98.75,normal
13.24,330.65,10.78,90.38,gangguan
118.84,7.71,0.85,99.81,normal
26.28,176.1,3.55,98.42,gangguan
13.85,261.43,3.28,98.51,gangguan
149.34,26.19,0.15,98.75,normal
120.33,16.67,1.11,98.61,normal
131.53,33.74,0.73,98.67,normal
147.24,57.35,0.61,98.69,normal
6.21,168.34,8.21,96.28,gangguan
22.25,166.35,10.96,95.99,gangguan
18.31,302.8,9.39,95.97,gangguan
23.96,163.33,3.81,97.18,gangguan
80.49,10.19,1.07,99.87,normal
149.31,38.64,0.98,98.7,normal
46.07,20.73,0.37,99.45,normal
124.42,31.62,1.18,98.72,normal
31.03,12.0,0.75,98.82,normal
101.87,26.57,0.04,98.86,normal
116.87,5.96,0.39,98.82,normal
67.61,22.13,0.24,99.27,normal
98.85,46.66,0.79,99.45,normal
102.58,194.5,1.43,98.77,gangguan
57.16,29.33,1.05,99.88,normal
38.19,199.31,2.13,97.98,gangguan
28.43,84.83,4.4,97.68,gangguan
25.78,89.78,2.77,98.48,gangguan
81.91,9.18,0.96,98.61,normal
48.93,7.06,0.24,99.54,normal
45.22,33.14,0.97,99.99,normal
26.55,177.32,1.05,98.29,gangguan
8.47,248.99,14.8,97.28,gangguan
13.77,158.56,1.62,98.02,gangguan
33.28,17.17,0.88,99.5,normal
109.12,57.73,0.32,99.59,normal
24.53,309.34,7.14,92.64,gangguan
7.25,203.64,2.21,97.41,gangguan
45.95,40.19,0.42,99.28,normal
30.09,274.78,1.32,98.69,gangguan
15.75,202.55,6.36,94.11,gangguan
133.34,33.62,0.35,99.2,normal
69.97,11.27,0.03,98.84,normal
129.7,52.49,0.68,98.67,normal
26.24,259.92,7.17,91.05,gangguan
119.95,12.09,0.14,98.53,normal
19.63,179.13,2.69,97.76,gangguan
123.77,8.39,0.17,99.53,normal
97.06,17.94,0.4,98.87,normal
12.1,298.67,10.87,91.34,gangguan
92.19,58.02,0.39,98.64,normal
61.97,54.24,1.19,98.56,normal
105.66,16.41,0.2,99.21,normal
86.2,56.75,0.52,98.7,normal
15.23,177.36,11.33,92.65,gangguan
3.75,226.54,14.48,94.18,gangguan
132.18,20.86,1.04,98.95,normal
132.11,8.02,1.05,98.76,normal
75.33,43.24,0.34,98.53,normal
94.08,229.86,3.07,98.42,gangguan
149.87,48.8,0.86,99.42,normal
8.02,256.66,10.45,96.81,gangguan
82.16,20.76,0.36,99.32,normal
149.21,36.55,0.95,98.73,normal
103.84,159.1,1.05,99.0,gangguan
135.96,40.25,0,99.75,normal
129.63,33.11,0.02,99.01,normal
124.84,50.98,1.21,99.95,normal
37.21,55.61,1.15,98.61,normal
142.89,51.95,0.09,98.6,normal
136.85,30.93,0.16,99.15,normal
5.26,163.78,2.21,98.07,gangguan
130.0,4.0,0.29,98.85,normal
30.49,22.96,0.89,99.9,normal
19.72,240.97,2.35,97.13,gangguan
45.58,297.72,1.59,96.2,gangguan
67.55,25.27,0.19,98.78,normal
61.54,42.49,0.53,99.6,normal
38.23,90.61,4.24,97.44,gangguan
2.99,312.51,12.88,90.04,gangguan
11.0,107.84,3.37,97.4,gangguan
56.26,30.88,0.85,99.94,normal
146.87,24.11,0.07,99.41,normal
114.64,42.22,0.43,99.41,normal
17.11,225.49,4.09,97.89,gangguan
52.7,48.25,0.21,99.22,normal
34.94,33.17,0.82,99.01,normal
129.55,55.83,0.43,98.55,normal
2.32,154.88,9.97,94.16,gangguan
85.3,12.16,0.43,98.52,normal
90.7,211.91,0.98,98.61,gangguan
100.05,56.47,0.48,99.84,normal
17.57,306.49,10.24,96.11,gangguan
71.47,51.76,1.17,99.58,normal
84.16,21.65,0.92,98.92,normal
149.1,5.79,0.84,98.91,normal
62.47,48.8,0.32,99.67,normal
24.61,235.16,7.52,96.03,gangguan
113.06,236.47,0.78,98.44,gangguan
25.57,182.96,3.94,97.24,gangguan
110.79,49.53,0.41,99.98,normal
84.4,6.9,0.84,99.45,normal
35.42,160.57,1.23,97.85,gangguan
37.26,28.67,0.4,99.38,normal
20.07,193.15,3.79,98.98,gangguan
82.29,44.16,1.03,98.89,normal
62.96,9.83,1.02,99.39,normal
90.75,60.67,0.21,99.82,normal
14.96,287.98,6.9,95.29,gangguan
3.45,193.36,14.05,95.28,gangguan
116.48,16.56,0.68,99.61,normal
108.31,46.33,0.98,98.6,normal
45.11,12.28,0.48,99.71,normal
112.79,45.96,1.07,98.65,normal
82.6,42.79,0.08,99.45,normal
16.47,176.7,4.67,91.83,gangguan
45.28,43.4,0.97,99.46,normal
50.67,38.3,0.37,99.89,normal
91.66,10.78,0.48,98.88,normal
42.03,43.83,0.16,98.85,normal
64.48,281.95,3.99,98.52,gangguan
124.88,23.14,0.45,99.14,normal
11.34,101.68,3.98,98.1,gangguan
25.02,347.52,15.86,93.29,gangguan
70.84,40.21,0.78,99.88,normal
134.2,24.9,0.3,98.64,normal
21.35,81.26,3.26,98.27,gangguan
71.47,206.34,0.04,96.95,gangguan
123.15,35.76,0.76,99.98,normal
20.37,155.94,5.68,90.57,gangguan
25.09,179.52,11.37,92.07,gangguan
90.58,58.26,0.38,98.61,normal
113.09,12.17,0.67,98.61,normal
39.91,8.27,0.26,99.64,normal
90.31,57.06,0.92,99.79,normal
114.11,23.94,0.24,99.93,normal
119.59,40.85,0.38,99.68,normal
81.59,32.0,0.5,98.72,normal
86.97,24.36,0.46,98.57,normal
73.61,60.97,0.89,99.42,normal
77.32,10.89,0.33,99.34,normal
6.21,230.7,9.12,93.77,gangguan
145.94,48.0,0.2,99.35,normal
55.38,7.21,0.94,99.44,normal
54.88,37.23,0.32,98.98,normal
48.79,11.08,0.06,99.06,normal
18.63,228.86,7.0,94.1,gangguan
133.71,42.19,0.09,98.75,normal
132.07,51.78,0.27,99.38,normal
53.39,52.18,0.44,98.76,normal
12.56,187.1,7.01,96.93,gangguan
40.06,33.16,0.4,98.93,normal
25.1,201.26,14.81,96.65,gangguan
29.05,291.43,6.94,90.47,gangguan
138.51,54.56,0.24,98.79,normal
126.76,51.41,0.08,98.84,normal
73.78,47.39,0.54,99.71,normal
110.85,12.35,0.32,98.72,normal
71.79,29.44,0.58,98.74,normal
94.5,135.66,1.73,96.37,gangguan
127.93,38.52,0.41,98.94,normal
54.1,43.44,0.08,98.88,normal
134.29,15.47,1.01,98.73,normal
39.22,35.58,0.75,99.65,normal
109.79,47.78,0.14,99.22,normal
102.3,161.19,0.69,97.59,gangguan
64.01,34.94,0.68,99.73,normal
79.77,31.13,0.29,99.03,normal
15.36,158.92,3.32,98.27,gangguan
35.12,40.36,0.17,99.11,normal
18.76,211.4,1.46,97.08,gangguan
73.64,8.47,0.77,99.87,normal
5.19,186.38,2.57,97.91,gangguan
108.44,40.12,0.94,99.77,normal
52.83,28.45,0.86,99.1,normal
32.37,10.67,1.09,98.93,normal
40.06,48.99,1.04,98.56,normal
147.36,29.46,0.46,99.81,normal
36.6,188.81,1.87,98.02,gangguan
32.17,42.13,0.8,98.61,normal
25.46,87.73,2.66,97.94,gangguan
93.6,25.02,0.11,98.8,normal
30.43,116.57,3.27,98.75,gangguan
97.09,11.56,0.86,99.74,normal
101.48,42.94,0.15,99.0,normal
36.69,45.24,0.37,99.54,normal
33.13,13.59,0.19,98.9,normal
108.51,40.99,0.62,98.93,normal
74.17,192.57,1.95,97.21,gangguan
40.1,20.74,0.45,99.7,normal
82.82,19.09,0.15,98.67,normal
23.56,156.66,12.3,92.41,gangguan
143.71,31.24,1.08,98.58,normal
96.15,40.87,0.28,98.64,normal
119.46,37.72,0.04,98.89,normal
78.99,8.96,1.1,98.66,normal
107.88,55.8,0.2,99.43,normal
143.81,3.99,0.14,99.52,normal
88.3,14.44,0.76,99.25,normal
141.25,28.13,0.76,99.53,normal
52.5,24.75,0.86,99.42,normal
92.29,23.91,0.91,98.6,normal
74.46,31.64,0.84,99.33,normal
47.18,29.53,0.44,99.21,normal
92.86,29.32,0.51,99.74,normal
110.16,162.8,4.75,99.47,gangguan
34.22,26.63,0.14,99.21,normal
133.14,23.83,0.49,99.21,normal
118.15,20.77,0,99.63,normal
53.28,18.65,0.21,99.34,normal
64.24,178.76,3.88,99.24,gangguan
4.53,270.28,6.99,95.38,gangguan
138.38,46.05,0.17,98.99,normal
87.76,27.72,0.75,99.13,normal
41.51,44.6,0.23,99.91,normal
116.03,169.82,0.74,97.2,gangguan
103.52,57.05,1.18,99.69,normal
42.55,11.32,0.92,98.62,normal
97.63,2.56,0.08,98.69,normal
86.6,50.96,0.86,99.81,normal
38.85,53.8,0.88,99.29,normal
64.58,35.68,0.84,99.32,normal
135.63,33.02,0.84,99.54,normal
82.29,31.35,0.32,99.59,normal
35.57,160.48,1.97,97.19,gangguan
101.61,51.86,1.15,99.28,normal
32.57,40.69,0.59,98.5,normal
31.55,48.78,0.52,99.94,normal
122.73,13.56,0.15,99.61,normal
138.09,35.2,0.76,99.36,normal
52.14,42.23,0.12,99.69,normal
67.71,48.58,0.25,98.84,normal
90.89,6.18,0.81,99.36,normal
69.65,162.8,2.45,98.97,gangguan
148.45,35.06,0.3,98.62,normal
91.0,20.4,0.3,99.36,normal
31.32,28.34,0.01,98.71,normal
39.61,23.11,0.59,98.73,normal
122.85,20.43,0.4,98.61,normal
41.95,282.68,0.94,96.54,gangguan
58.17,23.75,0.19,99.3,normal
141.02,25.15,0.03,99.13,normal
74.15,22.54,0.34,98.96,normal
13.46,208.8,4.99,94.31,gangguan
51.0,36.4,0.77,98.83,normal
85.11,49.87,0.11,99.92,normal
29.91,227.75,8.53,94.56,gangguan
6.78,292.67,14.94,95.58,gangguan
114.63,28.69,0.43,99.33,normal
29.03,119.75,3.98,98.35,gangguan
138.86,25.97,0.19,99.18,normal
139.58,39.2,0.41,99.28,normal
103.3,31.02,0.94,99.45,normal
8.87,189.29,1.3,97.87,gangguan
34.47,146.72,2.65,98.59,gangguan
121.06,7.52,0.38,99.76,normal
9.54,189.15,8.4,93.21,gangguan
35.1,8.09,0.63,98.84,normal
54.84,49.61,0.88,99.42,normal
9.58,222.33,10.93,96.34,gangguan
63.83,21.13,0.64,98.59,normal
113.04,11.51,0.31,98.82,normal
74.95,252.58,2.51,97.9,gangguan
59.59,55.68,0.41,99.52,normal
72.7,15.26,0.22,98.55,normal
49.82,11.62,0.73,99.4,normal
49.7,36.69,1.0,99.09,normal
21.03,331.09,13.18,90.17,gangguan
119.59,34.32,0.3,99.04,normal
71.29,22.29,0.67,99.77,normal
122.59,29.8,0.65,99.15,normal
133.67,54.73,0.71,99.69,normal
113.09,58.59,0.65,99.19,normal
108.77,45.41,0.15,99.35,normal
28.32,204.07,12.11,96.76,gangguan
87.53,285.05,3.77,97.96,gangguan
87.74,12.98,0.57,99.18,normal
1.66,158.02,14.39,94.65,gangguan
42.03,22.42,0.58,98.8,normal
120.76,53.45,0.97,99.32,normal
148.15,10.6,0.83,99.74,normal
56.9,248.41,2.06,97.32,gangguan
17.87,162.24,2.06,98.17,gangguan
125.86,11.98,0.37,99.96,normal
144.09,6.14,1.26,99.05,normal
78.99,26.44,1.11,98.62,normal
129.71,25.61,0.05,98.78,normal
37.26,7.7,0.75,98.77,normal
139.49,16.24,1.25,98.93,normal
71.82,9.53,0.2,99.28,normal
92.54,53.47,0.6,99.19,normal
118.26,57.05,0.76,98.95,normal
51.65,9.23,0.63,99.91,normal
70.65,35.07,0.83,99.85,normal
24.78,155.48,3.59,97.59,gangguan
138.65,38.41,0,99.99,normal
26.49,278.29,5.16,92.24,gangguan
76.8,46.76,1.04,99.6,normal
117.64,28.78,0.27,99.63,normal
