bandwidth,latency,packet_loss,uptime,label
78.23,42.26,4.54,90.78,normal
133.76,254.1,0.75,91.08,gangguan
32.58,283.77,3.77,87.97,gangguan
77.09,47.27,2.27,96.86,normal
118.39,170.56,3.6,88.43,gangguan
134.37,273.97,1.28,91.6,normal
116.05,57.32,2.41,88.86,gangguan
106.21,32.2,5.53,89.77,normal
59.09,119.81,3.31,98.51,normal
41.05,16.24,2.69,87.51,normal
37.46,299.11,1.89,86.76,gangguan
100.45,142.62,4.41,94.83,gangguan
68.14,56.27,3.92,90.11,gangguan
105.01,44.09,7.58,99.86,normal
49.73,276.54,0.72,91.7,gangguan
32.24,261.29,1.53,96.02,gangguan
129.28,206.44,4.22,85.7,normal
142.46,45.43,7.53,97.79,gangguan
89.41,130.07,3.94,95.23,normal
80.62,197.72,7.99,86.55,normal
125.55,103.1,5.29,98.49,normal
13.47,239.7,1.78,85.99,gangguan
20.81,48.04,6.34,95.22,normal
65.17,9.33,1.11,99.94,normal
45.15,257.38,1.14,90.47,normal
29.42,235.19,3.92,85.31,normal
46.16,83.97,5.66,90.33,normal
120.49,277.26,4.92,98.01,normal
125.01,224.07,2.44,86.04,gangguan
126.88,10.91,3.25,99.66,normal
40.05,209.74,6.95,90.94,normal
96.38,276.97,1.39,97.72,normal
125.84,297.18,2.84,96.31,normal
88.86,47.73,1.01,93.61,normal
132.54,70.86,7.34,97.13,normal
8.11,290.09,7.2,87.46,gangguan
137.78,108.85,2.22,93.0,normal
65.25,239.93,5.45,90.2,normal
143.28,286.25,6.01,92.02,normal
127.87,119.26,7.67,96.75,normal
111.81,134.67,7.44,91.28,gangguan
46.9,233.75,3.5,90.74,normal
80.3,113.18,3.52,93.94,normal
98.45,206.22,3.76,87.8,normal
96.9,72.3,6.86,88.91,normal
55.05,89.36,1.1,93.22,normal
53.1,13.91,3.54,90.85,normal
118.67,291.75,7.74,90.06,normal
84.33,280.86,4.39,87.42,normal
110.32,92.35,1.15,95.13,normal
8.61,154.94,5.24,89.53,gangguan
5.16,102.3,0.07,98.72,normal
55.13,55.23,5.24,87.36,normal
111.44,30.79,2.48,86.39,gangguan
30.58,98.97,0.82,86.18,gangguan
33.68,258.96,7.23,97.8,gangguan
80.66,33.47,5.42,85.65,gangguan
61.73,51.4,4.86,90.81,normal
55.45,115.66,5.05,99.57,normal
7.0,58.69,7.35,89.24,gangguan
123.84,241.15,6.15,89.65,gangguan
70.53,224.11,7.16,95.63,normal
17.9,11.62,5.14,88.19,normal
116.0,98.23,0.95,91.14,gangguan
138.15,250.28,1.29,89.64,normal
127.36,250.04,1.65,90.15,gangguan
40.41,225.02,2.86,88.59,gangguan
114.88,248.58,4.51,93.46,normal
134.69,285.32,1.3,92.43,gangguan
70.04,254.79,0.45,89.31,gangguan
52.43,243.25,2.58,96.41,normal
69.69,59.1,6.32,89.1,normal
82.48,244.71,3.19,96.37,normal
74.39,5.94,2.76,96.45,normal
34.31,101.85,2.08,89.29,gangguan
122.78,184.14,2.35,92.5,gangguan
137.46,161.52,5.78,95.95,normal
86.84,255.91,6.51,89.19,gangguan
134.15,27.71,0.48,95.61,normal
106.08,259.79,0.6,95.31,normal
113.53,240.69,0.05,93.4,normal
133.89,158.63,3.52,86.16,normal
63.81,16.53,4.31,90.26,gangguan
99.19,116.45,0.62,89.07,gangguan
34.61,145.36,1.62,87.57,normal
40.47,13.07,6.65,89.03,normal
140.63,212.58,0.53,91.27,normal
67.7,167.63,7.06,97.92,normal
49.47,93.85,2.66,90.23,normal
128.21,157.28,2.65,97.56,normal
61.31,239.92,5.53,86.06,gangguan
33.38,70.85,3.64,88.29,normal
72.93,122.74,5.5,97.22,normal
94.27,108.58,6.06,89.85,normal
12.38,211.5,1.19,88.73,gangguan
149.72,220.64,0.22,96.62,normal
93.44,286.59,2.67,89.52,gangguan
110.0,135.52,0.14,92.64,normal
64.53,261.86,7.58,87.09,gangguan
13.9,169.25,0.42,89.77,normal
61.34,67.76,5.37,89.98,gangguan
82.14,43.61,3.11,94.93,normal
40.77,233.56,3.74,99.21,gangguan
113.79,99.31,1.16,85.41,normal
54.56,220.64,1.49,92.09,gangguan
14.49,162.16,7.61,91.08,gangguan
65.7,120.75,1.89,85.2,normal
64.81,270.02,1.24,93.52,normal
104.49,158.35,2.33,92.76,normal
94.31,105.37,7.94,92.17,normal
26.44,68.34,6.39,90.17,gangguan
87.38,102.93,0.08,87.59,normal
122.2,142.63,5.04,94.05,normal
127.29,10.38,5.25,96.27,normal
38.6,70.32,0.04,93.12,normal
98.67,117.35,1.73,98.46,normal
14.71,260.78,2.13,91.58,normal
121.41,278.92,3.61,90.49,normal
138.02,24.41,1.2,88.77,normal
70.2,141.97,0.7,99.57,normal
128.25,190.74,6.23,91.78,normal
117.52,142.39,6.08,94.07,normal
66.36,134.95,3.1,98.71,normal
25.51,270.32,7.52,94.39,normal
29.49,179.08,4.55,99.36,normal
102.38,83.21,2.14,88.3,normal
6.56,45.14,6.16,92.14,normal
86.11,77.03,0.76,94.42,normal
50.08,292.51,5.81,90.43,gangguan
53.85,269.02,1.8,89.22,normal
27.91,96.5,3.77,85.58,normal
148.79,197.42,0.26,99.73,gangguan
56.95,136.02,0.83,98.42,normal
144.1,39.71,0.48,90.39,normal
57.51,250.27,0.27,98.24,normal
12.24,272.58,7.54,99.75,normal
61.11,231.72,7.77,94.93,normal
142.6,7.08,2.88,95.16,normal
42.69,110.91,2.77,90.56,gangguan
10.05,288.77,5.57,88.1,gangguan
105.95,83.49,1.67,99.83,normal
111.08,106.97,1.6,98.86,normal
23.49,69.62,7.75,85.4,gangguan
137.96,255.15,4.89,87.38,normal
116.6,86.89,7.83,98.09,normal
118.13,232.42,5.56,99.65,gangguan
144.76,83.88,4.96,94.56,normal
18.78,286.3,1.77,94.56,gangguan
74.07,238.78,4.18,85.18,normal
61.69,99.23,3.39,92.37,normal
8.63,16.91,7.64,99.43,normal
124.2,66.15,2.42,88.18,normal
31.96,203.38,7.17,89.21,normal
130.78,141.91,7.76,93.0,normal
15.65,94.85,1.42,93.54,gangguan
88.01,239.13,3.57,91.64,normal
24.26,141.77,5.98,90.12,normal
132.72,105.47,7.68,86.67,normal
143.64,247.21,3.53,95.57,gangguan
14.61,228.82,5.58,86.55,gangguan
54.37,108.87,7.64,88.39,normal
25.13,136.51,2.29,96.67,gangguan
94.28,179.18,6.01,91.74,normal
123.03,91.5,7.43,85.98,normal
129.84,180.57,5.82,97.32,normal
15.49,108.4,5.51,91.04,gangguan
78.31,13.75,4.68,88.46,gangguan
34.87,33.43,7.19,88.4,gangguan
48.77,143.26,3.88,93.06,gangguan
36.28,265.59,5.93,88.64,normal
125.65,86.04,6.06,95.45,normal
88.57,180.18,6.09,92.05,gangguan
87.56,286.92,4.32,98.23,gangguan
30.33,29.15,5.02,85.07,normal
149.74,190.5,7.33,89.3,gangguan
26.3,282.09,0.43,86.37,gangguan
82.53,107.19,1.58,99.88,normal
125.58,17.47,0.3,96.02,normal
23.32,141.46,6.91,89.47,normal
137.25,192.44,7.5,86.77,gangguan
99.61,10.47,4.78,96.62,normal
93.55,164.11,5.15,90.92,normal
143.71,137.55,2.49,94.4,normal
144.74,115.62,7.95,88.85,normal
83.89,215.58,1.39,85.28,normal
59.79,7.55,6.81,91.28,gangguan
118.02,19.18,7.09,92.6,gangguan
144.82,242.15,3.0,90.77,normal
67.82,250.61,0.49,86.88,normal
97.6,266.74,4.14,96.86,normal
8.55,224.85,6.06,95.45,normal
16.64,164.82,1.31,99.33,gangguan
19.76,47.43,6.46,89.68,normal
112.57,245.8,4.07,95.6,gangguan
44.02,83.45,6.13,96.91,normal
113.02,215.65,5.94,85.25,gangguan
72.52,86.29,4.67,94.02,normal
109.06,50.18,1.83,90.18,gangguan
96.51,221.78,2.27,89.01,normal
144.92,107.75,2.41,87.69,normal
87.46,86.68,6.1,98.58,normal
31.35,125.87,5.13,98.75,gangguan
89.64,59.39,5.87,85.87,gangguan
99.18,161.14,0.97,99.0,normal
115.61,171.55,3.69,88.89,normal
6.92,186.23,0.39,86.61,normal
117.62,144.24,5.69,93.33,normal
122.07,113.47,1.24,97.29,normal
140.01,273.36,3.39,89.96,normal
73.07,204.77,4.75,97.22,normal
98.35,25.1,7.33,91.63,gangguan
60.52,160.94,4.05,99.45,normal
17.01,238.96,5.88,94.72,normal
78.89,283.08,7.38,97.95,normal
7.35,141.89,0.52,99.25,gangguan
129.15,88.12,0.66,94.94,normal
140.55,30.71,1.93,90.55,normal
103.4,186.32,5.48,91.61,normal
104.91,136.75,0.16,89.26,normal
137.0,147.25,6.1,95.71,normal
132.03,93.91,3.14,99.76,normal
99.37,49.44,2.81,95.71,normal
131.99,112.66,5.65,91.95,normal
10.01,40.31,3.86,86.0,normal
66.44,261.96,3.2,98.78,normal
114.89,28.95,7.46,97.64,normal
29.53,90.93,6.67,87.21,normal
32.59,146.03,6.96,93.95,gangguan
142.49,124.91,0.45,88.32,normal
8.84,21.39,1.99,86.92,gangguan
92.57,237.02,4.97,91.06,gangguan
19.13,157.39,1.95,93.59,gangguan
113.3,10.7,2.56,91.41,gangguan
23.31,292.99,0.67,86.9,normal
49.04,166.25,7.57,87.41,normal
86.71,296.72,2.77,90.05,normal
47.08,282.85,0.33,96.41,gangguan
18.15,150.56,2.74,87.88,gangguan
138.03,17.42,3.83,98.1,normal
49.02,22.01,5.28,90.58,gangguan
33.07,169.11,7.3,94.21,normal
49.12,15.61,5.6,92.28,normal
45.23,75.65,6.22,96.54,normal
140.22,169.79,5.46,95.19,normal
143.37,250.43,5.6,87.41,normal
143.49,78.11,5.55,90.57,gangguan
44.74,128.16,2.56,97.15,normal
97.69,180.09,2.39,99.55,normal
12.37,261.52,6.62,99.25,gangguan
34.02,80.74,1.12,93.64,normal
22.37,37.6,1.44,86.74,gangguan
64.51,154.03,7.47,89.36,normal
33.91,63.0,5.3,90.47,normal
86.68,240.57,3.04,91.8,gangguan
71.95,53.49,1.46,93.52,normal
84.12,88.42,5.43,95.79,normal
105.77,275.2,1.17,99.43,normal
109.88,113.57,5.09,98.43,gangguan
61.34,233.32,6.46,88.46,normal
16.7,107.95,1.41,85.94,gangguan
77.74,85.38,1.41,85.23,normal
16.31,71.3,7.99,93.14,normal
54.43,14.58,2.73,91.2,normal
67.79,84.24,5.52,87.35,gangguan
64.94,136.69,4.94,99.83,normal
106.21,96.33,7.0,95.88,gangguan
44.76,210.26,5.43,86.85,normal
24.49,216.04,3.8,94.38,normal
115.95,197.97,5.43,97.18,normal
105.94,152.7,3.24,87.86,gangguan
34.79,58.72,6.09,99.39,normal
111.7,185.73,0.33,99.01,normal
37.5,255.19,2.32,94.47,gangguan
24.35,246.89,4.7,91.56,normal
130.18,181.79,1.46,85.69,gangguan
57.52,161.46,1.4,98.57,normal
83.14,275.65,7.14,97.06,normal
141.65,265.24,1.98,91.54,gangguan
9.25,100.49,7.25,88.85,gangguan
134.97,290.0,2.07,95.43,gangguan
90.94,273.53,5.33,85.82,gangguan
74.06,27.39,0.5,89.59,normal
98.69,172.66,3.56,95.44,normal
66.03,187.39,3.33,98.81,normal
103.56,173.45,4.48,89.58,gangguan
112.83,196.36,5.65,99.31,normal
17.17,255.86,7.82,88.74,gangguan
96.18,34.07,2.3,99.35,normal
22.4,203.52,2.93,93.16,gangguan
95.5,94.49,5.0,88.67,normal
13.02,17.85,0.27,90.54,normal
87.97,17.4,6.27,91.15,normal
126.16,38.27,3.66,86.94,normal
73.44,103.53,5.08,86.73,normal
66.41,117.04,2.35,97.74,normal
17.99,42.54,6.04,88.32,gangguan
55.37,287.08,5.39,89.88,gangguan
97.76,108.46,4.22,92.69,normal
11.71,172.78,0.42,85.5,normal
61.68,217.87,4.84,89.55,normal
97.61,80.76,5.1,92.5,normal
12.74,236.39,6.52,95.72,gangguan
14.26,5.31,5.66,86.52,normal
30.17,146.44,1.82,87.11,gangguan
38.49,200.01,6.65,87.08,normal
126.69,95.92,0.08,95.44,normal
5.65,260.22,3.25,89.79,normal
31.97,204.16,5.8,91.03,normal
149.06,150.73,2.51,97.12,normal
106.63,23.51,6.63,92.42,normal
17.22,83.62,7.93,90.67,gangguan
6.66,87.87,6.94,90.9,gangguan
111.27,115.24,6.62,88.56,gangguan
111.86,281.21,4.12,96.17,normal
134.66,177.43,0.58,87.26,gangguan
89.51,286.81,2.14,93.59,gangguan
11.25,99.8,7.4,90.21,normal
68.06,134.79,2.96,86.44,normal
99.67,162.19,0.52,88.39,normal
135.99,239.31,2.69,97.09,normal
49.78,211.8,4.96,88.07,normal
38.08,146.8,7.61,97.74,normal
116.3,186.35,3.23,90.95,normal
124.38,98.96,1.46,98.32,gangguan
15.22,14.84,6.69,96.29,normal
107.38,90.38,6.88,89.96,gangguan
14.0,162.59,5.77,92.56,normal
5.6,262.43,7.24,90.78,gangguan
16.89,72.88,2.68,87.78,gangguan
143.13,257.83,4.09,90.13,gangguan
124.4,18.23,3.75,86.75,normal
101.87,151.73,6.25,90.9,normal
130.29,270.13,0.01,95.93,normal
68.77,136.26,4.47,86.6,gangguan
135.52,164.9,0.34,91.4,normal
138.96,247.21,4.56,87.61,normal
25.15,229.6,2.53,98.92,normal
77.17,229.77,4.6,91.03,normal
48.51,300.0,2.36,93.19,normal
108.31,269.5,6.0,86.22,gangguan
75.18,158.83,5.75,98.7,normal
88.54,165.1,4.11,91.22,normal
117.09,296.06,4.53,94.74,normal
79.39,144.27,5.3,96.53,gangguan
130.66,229.24,0.91,94.24,gangguan
45.15,227.43,6.75,91.68,gangguan
99.51,93.43,7.87,85.19,normal
52.0,186.72,7.25,98.47,normal
142.47,227.61,5.93,99.41,normal
94.6,172.56,5.87,92.13,normal
112.02,236.88,0.54,90.82,normal
100.51,130.74,0.54,85.58,normal
18.79,209.74,7.64,98.75,normal
89.9,161.99,6.12,98.55,normal
28.5,155.75,1.29,86.67,normal
61.23,49.84,0.74,90.23,gangguan
145.04,263.2,2.94,92.25,gangguan
86.32,287.66,5.78,92.62,gangguan
56.82,49.3,2.89,97.02,normal
143.77,32.73,6.63,90.26,normal
23.03,240.57,1.31,92.78,normal
22.55,64.56,7.8,99.28,normal
40.01,152.65,4.13,99.53,normal
78.71,278.44,5.9,90.31,normal
89.96,15.23,0.01,96.45,normal
81.35,274.35,6.59,91.93,normal
80.52,55.94,5.11,87.83,normal
47.29,99.17,0.12,87.99,normal
143.52,246.15,4.09,89.3,normal
122.79,54.08,4.14,99.23,normal
103.12,277.28,4.11,87.49,normal
58.62,7.04,4.65,92.81,normal
38.75,87.9,4.05,95.54,gangguan
26.62,187.14,7.74,97.99,normal
97.93,283.7,5.84,97.47,normal
14.45,195.98,5.26,88.3,normal
109.92,162.17,3.18,97.55,normal
63.51,177.01,7.51,98.53,normal
130.69,116.53,4.45,98.65,normal
8.66,119.63,4.61,90.84,normal
141.27,245.07,3.72,98.47,normal
24.53,213.33,2.42,97.8,normal
9.17,140.37,2.04,99.5,gangguan
146.91,157.07,2.51,98.36,normal
116.14,285.87,4.27,86.58,normal
117.43,243.15,4.6,99.79,normal
9.05,198.71,0.64,98.52,gangguan
11.62,269.83,3.74,92.29,normal
55.25,44.08,6.76,91.91,gangguan
